clean_psnr_mean,clean_ssim_mean,clean_bpp_mean,defended_psnr_mean,defended_ssim_mean,defended_bpp_mean,attacked_psnr_mean,attacked_ssim_mean,attacked_bpp_mean,clean_psnr_drop,clean_ssim_drop,attack_psnr_drop,attack_ssim_drop,asr,defense,attack,eps,asr_reduction
100.0,1.0,0.4152074611435334,33.44692289619295,0.8990714,0.4152074611435334,21.57312777582983,0.84821844,0.5207981628676256,66.55307710380704,0.100928605,11.873795120363122,0.050852954,0.875,none,fgsm,0.01568627450980392,0.0
100.0,1.0,0.4152074611435334,33.44692289619295,0.8990714,0.4152074611435334,13.814483731874475,0.6635285,0.6441612578928471,66.55307710380704,0.100928605,19.632439164318473,0.2355429,1.0,none,fgsm,0.03137254901960784,0.0
100.0,1.0,0.4152074611435334,33.44692289619295,0.8990714,0.4152074611435334,33.51272865424986,0.91755176,0.5018578730523586,66.55307710380704,0.100928605,-0.06580575805690995,-0.01848036,0.041666666666666664,none,pgd,0.01568627450980392,0.0
100.0,1.0,0.4152074611435334,33.44692289619295,0.8990714,0.4152074611435334,33.44372026551375,0.9188208,0.5337649018814167,66.55307710380704,0.100928605,0.0032026306792009387,-0.019749403,0.08333333333333333,none,pgd,0.03137254901960784,0.0
100.0,1.0,0.4152074611435334,33.44692289619295,0.8990714,0.4152074611435334,34.11824556845928,0.9201111,0.5106226243078709,66.55307710380704,0.100928605,-0.6713226722663287,-0.021039724,0.041666666666666664,none,apgd,0.01568627450980392,0.0
100.0,1.0,0.4152074611435334,33.44692289619295,0.8990714,0.4152074611435334,27.329802850583192,0.8976836,0.5761198761562506,66.55307710380704,0.100928605,6.117120045609757,0.001387775,0.625,none,apgd,0.03137254901960784,0.0
100.0,1.0,0.4152074611435334,28.51956613853424,0.7991867,0.21060771929721037,20.299275883973305,0.7574515,0.2879298012703657,71.48043386146576,0.2008133,8.220290254560938,0.041735232,0.7916666666666666,gaussian_3x3,fgsm,0.01568627450980392,0.08333333333333337
100.0,1.0,0.4152074611435334,28.51956613853424,0.7991867,0.21060771929721037,13.100061427077108,0.5886721,0.38744232182701427,71.48043386146576,0.2008133,15.419504711457131,0.2105146,1.0,gaussian_3x3,fgsm,0.03137254901960784,0.0
100.0,1.0,0.4152074611435334,28.51956613853424,0.7991867,0.21060771929721037,28.916549620877344,0.8243971,0.2525888041903575,71.48043386146576,0.2008133,-0.3969834823431008,-0.02521038,0.0,gaussian_3x3,pgd,0.01568627450980392,0.041666666666666664
100.0,1.0,0.4152074611435334,28.51956613853424,0.7991867,0.21060771929721037,28.37150012319509,0.8237281,0.26801190214852494,71.48043386146576,0.2008133,0.14806601533915384,-0.024541378,0.041666666666666664,gaussian_3x3,pgd,0.03137254901960784,0.041666666666666664
100.0,1.0,0.4152074611435334,28.51956613853424,0.7991867,0.21060771929721037,28.962621006171847,0.82639766,0.2575487221280734,71.48043386146576,0.2008133,-0.4430548676376033,-0.02721095,0.0,gaussian_3x3,apgd,0.01568627450980392,0.041666666666666664
100.0,1.0,0.4152074611435334,28.51956613853424,0.7991867,0.21060771929721037,25.595803688565724,0.8119368,0.2728976874301831,71.48043386146576,0.2008133,2.9237624499685193,-0.012750089,0.5,gaussian_3x3,apgd,0.03137254901960784,0.125
100.0,1.0,0.4152074611435334,26.45755154642447,0.7234826,0.14466372660050789,20.424034574641023,0.6963636,0.1993530634790659,73.54244845357552,0.2765174,6.033516971783445,0.02711898,0.75,gaussian_5x5,fgsm,0.01568627450980392,0.125
100.0,1.0,0.4152074611435334,26.45755154642447,0.7234826,0.14466372660050789,14.067125856682248,0.5598259,0.26496178408463794,73.54244845357552,0.2765174,12.390425689742221,0.16365671,1.0,gaussian_5x5,fgsm,0.03137254901960784,0.0
100.0,1.0,0.4152074611435334,26.45755154642447,0.7234826,0.14466372660050789,26.66390475017862,0.7420848,0.1702783933530251,73.54244845357552,0.2765174,-0.20635320375414765,-0.018602192,0.0,gaussian_5x5,pgd,0.01568627450980392,0.041666666666666664
100.0,1.0,0.4152074611435334,26.45755154642447,0.7234826,0.14466372660050789,25.912916154397806,0.7391384,0.17687144440909228,73.54244845357552,0.2765174,0.5446353920266634,-0.015655816,0.08333333333333333,gaussian_5x5,pgd,0.03137254901960784,0.0
100.0,1.0,0.4152074611435334,26.45755154642447,0.7234826,0.14466372660050789,26.677628990892202,0.7430913,0.17294305625061193,73.54244845357552,0.2765174,-0.2200774444677315,-0.019608676,0.0,gaussian_5x5,apgd,0.01568627450980392,0.041666666666666664
100.0,1.0,0.4152074611435334,26.45755154642447,0.7234826,0.14466372660050789,24.317674348241002,0.73272806,0.18039640473822752,73.54244845357552,0.2765174,2.1398771981834654,-0.009245455,0.4166666666666667,gaussian_5x5,apgd,0.03137254901960784,0.20833333333333331
100.0,1.0,0.4152074611435334,29.145959299793343,0.8044658,0.23151461749027172,19.24096895721418,0.7490206,0.33966321932772797,70.85404070020665,0.19553423,9.904990342579163,0.055445194,0.9583333333333334,median_3x3,fgsm,0.01568627450980392,-0.08333333333333337
100.0,1.0,0.4152074611435334,29.145959299793343,0.8044658,0.23151461749027172,12.534016337214894,0.5774812,0.39362115909655887,70.85404070020665,0.19553423,16.61194296257845,0.22698456,1.0,median_3x3,fgsm,0.03137254901960784,0.0
